ST,PUMA,prcnt_non_cit,prcnt_non_white,total_workforce,DOs
1,2400,0.01649365628604383,0.5417531718569781,60690,"[""Birmingham AL District Office""]"
1,2500,0.01707314209222315,0.28763664971877456,85163,"[""Birmingham AL District Office""]"
1,2600,0.02530182249519999,0.16820635511012375,99479,"[""Birmingham AL District Office""]"
1,2701,0.00936741331134625,0.657619898309743,43662,"[""Birmingham AL District Office""]"
1,2702,0.02625430869398698,0.4740329375718116,52220,"[""Birmingham AL District Office""]"
1,2703,0.017193640585923545,0.25128394069310467,89568,"[""Birmingham AL District Office""]"
2,101,0.041812434787945746,0.39917449211317746,65172,"[""Seattle District Office""]"
2,102,0.04193952287559973,0.37125065097674215,90249,"[""Seattle District Office""]"
2,200,0.017051566380260553,0.1767572807798037,75301,"[""Seattle District Office""]"
2,300,0.036855323871269205,0.2720752292506279,85605,"[""Seattle District Office""]"
2,400,0.08318140382862352,0.6527768038706963,57044,"[""Seattle District Office""]"
4,100,0.03131441776190539,0.28680592938828564,76163,"[""Phoenix District Office""]"
4,101,0.050372878823719824,0.27353992106671976,80321,"[""Phoenix District Office""]"
4,102,0.07942701373670426,0.3263803517023892,74836,"[""Phoenix District Office""]"
4,103,0.1510038278259511,0.53470822591985,64005,"[""Phoenix District Office""]"
4,104,0.1059061213700389,0.41427816170084214,52962,"[""Phoenix District Office""]"
4,105,0.03847941875755442,0.2956818574255848,75287,"[""Phoenix District Office""]"
4,106,0.1039604722397525,0.43594440254282946,64967,"[""Phoenix District Office""]"
4,107,0.07445119614605573,0.3439353296472692,54801,"[""Phoenix District Office""]"
4,108,0.08224513518817651,0.40470403526516807,66241,"[""Phoenix District Office""]"
4,109,0.1116820055332844,0.41654903732143866,70844,"[""Phoenix District Office""]"
4,110,0.05074997758393216,0.2187295853667909,78069,"[""Phoenix District Office""]"
4,111,0.054228951178245624,0.19151942230207045,57331,"[""Phoenix District Office""]"
4,112,0.03678935129500441,0.14964317215940984,62355,"[""Phoenix District Office""]"
4,113,0.0795471547553738,0.2423819260884744,60153,"[""Phoenix District Office""]"
4,114,0.1225814623642294,0.3518952468412553,63158,"[""Phoenix District Office""]"
4,115,0.13704842829588698,0.40857356339814765,57549,"[""Phoenix District Office""]"
4,116,0.11593467039011593,0.4898874502834899,59085,"[""Phoenix District Office""]"
4,117,0.12407676181261088,0.4592807611675536,62010,"[""Phoenix District Office""]"
4,118,0.17009074062240398,0.6111732379065755,62596,"[""Phoenix District Office""]"
4,119,0.2045007769644094,0.8315391384119971,53413,"[""Phoenix District Office""]"
4,120,0.06754009116846489,0.3958941396386056,60986,"[""Phoenix District Office""]"
4,121,0.21759010220548683,0.8167563206024745,74360,"[""Phoenix District Office""]"
4,122,0.36430502544529264,0.8958730916030534,50304,"[""Phoenix District Office""]"
4,123,0.2971898408053563,0.8682389987118115,62879,"[""Phoenix District Office""]"
4,124,0.22207997590179984,0.6906770088109044,53116,"[""Phoenix District Office""]"
4,125,0.16492522751059943,0.5671001046637455,56371,"[""Phoenix District Office""]"
4,126,0.05723890959584886,0.3367390192209311,68415,"[""Phoenix District Office""]"
4,127,0.05287407893147423,0.34342266475694144,57949,"[""Phoenix District Office""]"
4,128,0.07371532590724628,0.2846072913709314,59879,"[""Phoenix District Office""]"
4,129,0.0355237576794463,0.2223034450579361,64295,"[""Phoenix District Office""]"
4,130,0.06886657101865136,0.4128540305010893,37638,"[""Phoenix District Office""]"
4,131,0.027580508724647373,0.3135364822064407,50833,"[""Phoenix District Office""]"
4,132,0.056890441388431995,0.445983755277839,58973,"[""Phoenix District Office""]"
4,133,0.09606725193559883,0.6431371278629046,61738,"[""Phoenix District Office""]"
4,134,0.06901545972335232,0.42338486574450773,61450,"[""Phoenix District Office""]"
4,201,0.07159637798508314,0.7504960883151244,43843,"[""Phoenix District Office""]"
4,202,0.08830509318419437,0.5199395920805882,60257,"[""Phoenix District Office""]"
4,203,0.04101473225273373,0.34851095249815406,56882,"[""Phoenix District Office""]"
4,204,0.04600766465173245,0.2561929595827901,50622,"[""Phoenix District Office""]"
4,205,0.04654667659847212,0.38886482928265803,57727,"[""Phoenix District Office""]"
4,206,0.07033520239020996,0.3847255760651578,48866,"[""Phoenix District Office""]"
4,207,0.11912476790330215,0.48793097171150834,54934,"[""Phoenix District Office""]"
4,208,0.20546123314145592,0.8769975686290808,48121,"[""Phoenix District Office""]"
4,209,0.05666672428993725,0.47129496775978014,57847,"[""Phoenix District Office""]"
4,300,0.014849831289880733,0.615858751211038,59866,"[""Phoenix District Office""]"
4,400,0.029622544738775455,0.402517292524362,72141,"[""Phoenix District Office""]"
4,500,0.044064883446127405,0.2075303469760447,93090,"[""Phoenix District Office""]"
4,600,0.0403793881209878,0.2915158174773003,86455,"[""Phoenix District Office""]"
4,700,0.18615879191923984,0.7546708739130951,84299,"[""Phoenix District Office""]"
4,800,0.026618788370207345,0.46767056643113636,43165,"[""Phoenix District Office""]"
4,803,0.027480643433376077,0.2952424237505478,61607,"[""Phoenix District Office""]"
4,805,0.05276285001671338,0.49193900902522436,38891,"[""Phoenix District Office""]"
4,807,0.07285790817130432,0.5664765386191032,63466,"[""Phoenix District Office""]"
4,900,0.08606079452693773,0.5590608722692996,64315,"[""Phoenix District Office""]"
5,100,0.10800770189149395,0.2649903726356326,132435,"[""Little Rock AR District Office""]"
5,200,0.10331217482678787,0.2758152289988296,117053,"[""Little Rock AR District Office""]"
5,300,0.02542128653551548,0.0856072441565927,65929,"[""Little Rock AR District Office""]"
5,400,0.013278164378408877,0.0726537521158548,53170,"[""Little Rock AR District Office""]"
5,500,0.02189385134761193,0.15873595661076983,90345,"[""Little Rock AR District Office""]"
5,600,0.018095583993847073,0.44621530967590317,46807,"[""Little Rock AR District Office""]"
5,700,0.013598810713328297,0.3801574342602296,41033,"[""Little Rock AR District Office""]"
5,800,0.02581041309365009,0.13332909864701772,47229,"[""Little Rock AR District Office""]"
5,900,0.026802578631846926,0.37961936437546195,97416,"[""Little Rock AR District Office""]"
5,1000,0.06831325552748606,0.5253356160093534,95794,"[""Little Rock AR District Office""]"
5,1100,0.02424383581947341,0.1674836168838731,94457,"[""Little Rock AR District Office""]"
5,1200,0.02701581454008397,0.1491345978327608,60261,"[""Little Rock AR District Office""]"
5,1300,0.06359257797078563,0.17321752862218712,63325,"[""Little Rock AR District Office""]"
5,1400,0.05899046768970213,0.25300101845812306,87387,"[""Little Rock AR District Office""]"
5,1500,0.059986286146643655,0.19234861561014824,42293,"[""Little Rock AR District Office""]"
5,1600,0.026307726589047963,0.1775388557740516,71804,"[""Little Rock AR District Office""]"
5,1700,0.016402618578277482,0.4684967511133825,41091,"[""Little Rock AR District Office""]"
5,1800,0.023762325912371658,0.3320626207176985,39348,"[""Little Rock AR District Office""]"
5,1900,0.013496385315932776,0.39496291428034924,42604,"[""Little Rock AR District Office""]"
5,2000,0.018790994504520476,0.3047775217160078,45128,"[""Little Rock AR District Office""]"
6,101,0.1272278762204887,0.43539804721806064,77428,"[""San Jose District Office""]"
6,102,0.15888389575832007,0.6428857193364409,107481,"[""San Jose District Office""]"
6,103,0.06965415840951224,0.4362718148692706,78215,"[""San Jose District Office""]"
6,104,0.27634359903381644,0.9097071256038647,66240,"[""San Jose District Office""]"
6,105,0.13513941196949078,0.6758975008175881,94791,"[""San Jose District Office""]"
6,106,0.15312479761673467,0.684450488957969,77205,"[""San Jose District Office""]"
6,107,0.19824967705145066,0.8375248757666391,85927,"[""San Jose District Office""]"
6,108,0.18910743184364495,0.8282708826092369,80330,"[""San Jose District Office""]"
6,109,0.2584614823660246,0.7842173869447508,109703,"[""San Jose District Office""]"
6,110,0.14931534910105101,0.4725194207648551,126926,"[""San Jose District Office""]"
6,300,0.04721695893790455,0.22110456909597265,78637,"[""Sacramento District Office""]"
6,701,0.04352565722952477,0.26908493427704755,63296,"[""Sacramento District Office""]"
6,702,0.043323485252094736,0.2817116288080593,41294,"[""Sacramento District Office""]"
6,1100,0.11348194939219215,0.40798413456241506,54458,"[""Sacramento District Office""]"
6,1301,0.3044254323875177,0.8443558810857389,64988,"[""San Jose District Office""]"
6,1302,0.12451046788963811,0.6665292541444598,67922,"[""San Jose District Office""]"
6,1303,0.14194017037575118,0.48068414448920294,75715,"[""San Jose District Office""]"
6,1304,0.06735634041865352,0.263606239392225,61865,"[""San Jose District Office""]"
6,1305,0.10892886369385052,0.45022244044696397,67209,"[""San Jose District Office""]"
6,1306,0.09611414132076053,0.37214569658870295,64902,"[""San Jose District Office""]"
6,1307,0.19212257568421953,0.7055791302366645,70226,"[""San Jose District Office""]"
